"1";"1";"1";"34"
"2";"1";"2";"0"
"3";"6";"12";"74"
"4";"6";"13";"50"
"5";"6";"14";"83"
"6";"6";"15";"44"
"7";"6";"16";"79"
"8";"6";"18";"67"
"9";"6";"19";"58"
"10";"6";"20";"62"
"11";"6";"21";"43"
"12";"6";"22";"54"
"13";"6";"23";"75"
"14";"6";"24";"73"
"15";"6";"32";"75"
"16";"6";"26";"76"
"17";"6";"27";"95"
"18";"6";"28";"54"
"19";"6";"29";"50"
"20";"6";"30";"50"
"21";"6";"31";"63"
"22";"6";"25";"56"
"23";"6";"34";"76"
"24";"7";"10";"91"
"25";"7";"2";"100"
"26";"7";"3";"94"
"27";"7";"4";"100"
"28";"7";"6";"100"
"29";"7";"8";"97"
"30";"7";"9";"100"
"31";"8";"1";"90"
"32";"8";"10";"88"
"33";"8";"11";"86"
"34";"8";"12";"60"
"35";"8";"15";"58"
"36";"8";"2";"71"
"37";"8";"21";"55"
"38";"8";"22";"54"
"39";"8";"23";"78"
"40";"8";"24";"75"
"41";"8";"32";"58"
"42";"8";"26";"71"
"43";"8";"27";"51"
"44";"8";"3";"59"
"45";"8";"31";"67"
"46";"8";"34";"66"
"47";"8";"36";"60"
"48";"8";"4";"69"
"49";"8";"5";"66"
"50";"8";"6";"62"
"51";"8";"7";"86"
"52";"8";"8";"81"
"53";"8";"9";"46"
"54";"9";"1";"83"
"55";"9";"10";"71"
"56";"9";"11";"70"
"57";"9";"12";"79"
"58";"9";"13";"94"
"59";"9";"14";"77"
"60";"9";"15";"92"
"61";"9";"16";"67"
"62";"9";"17";"67"
"63";"9";"18";"97"
"64";"9";"19";"88"
"65";"9";"2";"71"
"66";"9";"21";"66"
"67";"9";"22";"85"
"68";"9";"23";"75"
"69";"9";"24";"70"
"70";"9";"32";"96"
"71";"9";"26";"74"
"72";"9";"27";"72"
"73";"9";"28";"100"
"74";"9";"29";"86"
"75";"9";"3";"94"
"76";"9";"30";"93"
"77";"9";"31";"87"
"78";"9";"25";"75"
"79";"9";"33";"88"
"80";"9";"34";"86"
"81";"9";"35";"89"
"82";"9";"36";"45"
"83";"9";"37";"44"
"84";"9";"4";"81"
"85";"9";"5";"82"
"86";"9";"6";"72"
"87";"9";"7";"86"
"88";"9";"8";"90"
"89";"9";"9";"100"
"90";"10";"10";"44"
"91";"10";"11";"66"
"92";"10";"12";"55"
"93";"10";"13";"50"
"94";"10";"14";"60"
"95";"10";"15";"58"
"96";"10";"6";"48"
"97";"10";"7";"76"
"98";"10";"8";"35"
"99";"10";"9";"46"
"100";"11";"15";"74"
"101";"11";"16";"65"
"102";"11";"17";"71"
"103";"11";"18";"60"
"104";"11";"19";"87"
"105";"11";"20";"79"
"106";"11";"21";"53"
"107";"11";"22";"76"
"108";"11";"23";"78"
"109";"11";"24";"82"
"110";"12";"1";"76"
"111";"12";"2";"100"
"112";"12";"32";"54"
"113";"12";"26";"62"
"114";"12";"27";"53"
"115";"12";"28";"54"
"116";"12";"29";"43"
"117";"12";"3";"63"
"118";"12";"4";"81"
"119";"12";"5";"53"
"120";"13";"10";"56"
"121";"13";"27";"79"
"122";"13";"28";"59"
"123";"13";"29";"74"
"124";"13";"30";"43"
"125";"13";"31";"63"
"126";"13";"6";"48"
"127";"13";"7";"86"
"128";"13";"8";"77"
"129";"13";"9";"70"
"130";"14";"11";"74"
"131";"14";"12";"76"
"132";"14";"13";"100"
"133";"14";"14";"77"
"134";"14";"15";"70"
"135";"14";"25";"92"
"136";"14";"33";"70"
"137";"14";"34";"53"
"138";"14";"35";"89"
"139";"14";"36";"90"
"140";"15";"2";"68"
"141";"15";"21";"41"
"142";"15";"22";"44"
"143";"15";"23";"81"
"144";"15";"24";"64"
"145";"15";"32";"67"
"146";"15";"26";"67"
"147";"15";"27";"84"
"148";"15";"28";"56"
"149";"15";"29";"83"
"150";"15";"3";"56"
"151";"15";"30";"39"
"152";"16";"16";"74"
"153";"16";"17";"85"
"154";"16";"18";"73"
"155";"16";"19";"60"
"156";"16";"20";"79"
"157";"16";"21";"45"
"158";"16";"22";"43"
"159";"16";"23";"75"
"160";"16";"24";"66"
"161";"16";"32";"63"
"162";"17";"1";"76"
"163";"17";"2";"65"
"164";"17";"3";"78"
"165";"17";"31";"80"
"166";"17";"25";"50"
"167";"17";"33";"63"
"168";"17";"34";"80"
"169";"17";"35";"42"
"170";"17";"36";"50"
"171";"17";"4";"63"
"172";"18";"16";"47"
"173";"18";"17";"65"
"174";"18";"18";"53"
"175";"18";"19";"62"
"176";"19";"1";"7"
"177";"19";"10";"85"
"178";"19";"11";"76"
"179";"19";"12";"76"
"180";"19";"19";"77"
"181";"19";"2";"88"
"182";"19";"22";"72"
"183";"19";"3";"59"
"184";"19";"31";"73"
"185";"19";"25";"39"
"186";"19";"33";"58"
"187";"19";"34";"56"
"188";"19";"35";"82"
"189";"19";"36";"50"
"190";"19";"4";"56"
"191";"19";"5";"29"
"192";"19";"6";"59"
"193";"19";"7";"76"
"194";"19";"8";"74"
"195";"19";"9";"59"
"196";"20";"1";"62"
"197";"20";"10";"56"
"198";"20";"6";"21"
"199";"21";"1";"69"
"200";"21";"2";"85"
"201";"21";"3";"84"
"202";"21";"25";"53"
"203";"21";"33";"63"
"204";"21";"34";"72"
"205";"21";"35";"34"
"206";"21";"4";"69"
"207";"21";"5";"39"
"208";"22";"21";"66"
"209";"22";"22";"43"
"210";"22";"23";"56"
"211";"22";"24";"61"
"212";"22";"32";"63"
"213";"22";"26";"48"
"214";"22";"27";"77"
"215";"22";"28";"51"
"216";"22";"29";"36"
"217";"22";"30";"29"
"218";"23";"1";"72"
"219";"23";"16";"81"
"220";"23";"31";"83"
"221";"23";"6";"66"
"222";"24";"1";"59"
"223";"24";"2";"79"
"224";"24";"32";"33"
"225";"24";"26";"45"
"226";"24";"27";"84"
